Common_Name,Scientific_Name,Habitat,Location_Type,Plot_Name,Admin_Unit,Year,Date,Month,Month_Name,Season,Start_Time,Start_Hour,End_Time,Sex,Distance,Temperature,Humidity,Sky,Wind,Disturbance,PIF_Watchlist_Status,Regional_Stewardship_Status,AOU_Code,Observer,Visit,Interval_Length,ID_Method,Flyover_Observed,Taxon_Code
Eastern Towhee,Pipilo erythrophthalmus,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,True,EATO,Elizabeth Oswald,1,0-2.5 min,Singing,False,83803.0
White-breasted Nuthatch,Sitta carolinensis,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,WBNU,Elizabeth Oswald,1,0-2.5 min,Calling,False,90935.0
Red-bellied Woodpecker,Melanerpes carolinus,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,50 - 100 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,RBWO,Elizabeth Oswald,1,2.5 - 5 min,Calling,False,84865.0
Orchard Oriole,Icterus spurius,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,OROR,Elizabeth Oswald,1,2.5 - 5 min,Singing,False,93634.0
Northern Mockingbird,Mimus polyglottos,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,NOMO,Elizabeth Oswald,1,2.5 - 5 min,Visualization,False,88394.0
Northern Cardinal,Cardinalis cardinalis,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,NOCA,Elizabeth Oswald,1,5 - 7.5 min,Singing,False,94228.0
Northern Cardinal,Cardinalis cardinalis,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,50 - 100 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,NOCA,Elizabeth Oswald,1,0-2.5 min,Singing,False,94228.0
Horned Lark,Eremophila alpestris,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,HOLA,Elizabeth Oswald,1,0-2.5 min,Singing,False,264079.0
Mourning Dove,Zenaida macroura,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,MODO,Elizabeth Oswald,1,0-2.5 min,Singing,False,82737.0
Field Sparrow,Spizella pusilla,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,True,FISP,Elizabeth Oswald,1,5 - 7.5 min,Singing,False,84790.0
Carolina Wren,Thryothorus ludovicianus,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,CARW,Elizabeth Oswald,1,0-2.5 min,Singing,False,88350.0
Carolina Chickadee,Poecile carolinensis,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,True,CACH,Elizabeth Oswald,1,7.5 - 10 min,Visualization,False,265876.0
Eastern Wood-Pewee,Contopus virens,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,50 - 100 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,True,EAWP,Elizabeth Oswald,1,0-2.5 min,Singing,False,85846.0
American Crow,Corvus brachyrhynchos,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,50 - 100 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,AMCR,Elizabeth Oswald,1,2.5 - 5 min,Calling,False,87106.0
Indigo Bunting,Passerina cyanea,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,True,INBU,Elizabeth Oswald,1,0-2.5 min,Singing,False,94257.0
Eastern Tufted Titmouse,Baeolophus bicolor,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,ETTI,Elizabeth Oswald,1,2.5 - 5 min,Singing,False,266957.0
Yellow Warbler,Setophaga petechia,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,YEWA,Elizabeth Oswald,1,7.5 - 10 min,Singing,False,773778.0
Mourning Dove,Zenaida macroura,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,MODO,Elizabeth Oswald,1,2.5 - 5 min,Visualization,False,82737.0
Field Sparrow,Spizella pusilla,Forest,Forest,ANTI-0036,ANTI,2018,2018-05-22,5,May,Spring,06:19:00,6,06:29:00,Undetermined,<= 50 Meters,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,True,FISP,Elizabeth Oswald,1,2.5 - 5 min,Singing,False,84790.0
Red-bellied Woodpecker,Melanerpes carolinus,Forest,Forest,ANTI-0082,ANTI,2018,2018-05-22,5,May,Spring,06:02:00,6,06:12:00,Undetermined,50 - 100 Meters,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,RBWO,Kimberly Serno,1,5 - 7.5 min,Calling,False,84865.0
Eastern Tufted Titmouse,Baeolophus bicolor,Forest,Forest,ANTI-0082,ANTI,2018,2018-05-22,5,May,Spring,06:02:00,6,06:12:00,Undetermined,50 - 100 Meters,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,ETTI,Kimberly Serno,1,7.5 - 10 min,Singing,False,266957.0
Eastern Tufted Titmouse,Baeolophus bicolor,Forest,Forest,ANTI-0082,ANTI,2018,2018-05-22,5,May,Spring,06:02:00,6,06:12:00,Undetermined,<= 50 Meters,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,ETTI,Kimberly Serno,1,0-2.5 min,Singing,False,266957.0
Eastern Bluebird,Sialia sialis,Forest,Forest,ANTI-0082,ANTI,2018,2018-05-22,5,May,Spring,06:02:00,6,06:12:00,Undetermined,<= 50 Meters,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,EABL,Kimberly Serno,1,0-2.5 min,Singing,False,87184.0
Downy Woodpecker,Picoides pubescens,Forest,Forest,ANTI-0082,ANTI,2018,2018-05-22,5,May,Spring,06:02:00,6,06:12:00,Undetermined,<= 50 Meters,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,True,DOWO,Kimberly Serno,1,0-2.5 min,Calling,False,84936.0
Chipping Sparrow,Spizella passerina,Forest,Forest,ANTI-0082,ANTI,2018,2018-05-22,5,May,Spring,06:02:00,6,06:12:00,Undetermined,50 - 100 Meters,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,CHSP,Kimberly Serno,1,0-2.5 min,Singing,False,84781.0
Carolina Wren,Thryothorus ludovicianus,Forest,Forest,ANTI-0082,ANTI,2018,2018-05-22,5,May,Spring,06:02:00,6,06:12:00,Undetermined,<= 50 Meters,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,CARW,Kimberly Serno,1,2.5 - 5 min,Singing,False,88350.0
Carolina Wren,Thryothorus ludovicianus,Forest,Forest,ANTI-0082,ANTI,2018,2018-05-22,5,May,Spring,06:02:00,6,06:12:00,Undetermined,50 - 100 Meters,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,CARW,Kimberly Serno,1,0-2.5 min,Calling,False,88350.0
Baltimore Oriole,Icterus galbula,Forest,Forest,ANTI-0082,ANTI,2018,2018-05-22,5,May,Spring,06:02:00,6,06:12:00,Undetermined,<= 50 Meters,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,BAOR,Kimberly Serno,1,7.5 - 10 min,Singing,False,93655.0
Northern Cardinal,Cardinalis cardinalis,Forest,Forest,ANTI-0082,ANTI,2018,2018-05-22,5,May,Spring,06:02:00,6,06:12:00,Undetermined,50 - 100 Meters,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,NOCA,Kimberly Serno,1,0-2.5 min,Singing,False,94228.0
Great Crested Flycatcher,Myiarchus crinitus,Forest,Forest,ANTI-0082,ANTI,2018,2018-05-22,5,May,Spring,06:02:00,6,06:12:00,Undetermined,50 - 100 Meters,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,False,GCFL,Kimberly Serno,1,2.5 - 5 min,Calling,False,85791.0
Eastern Wood-Pewee,Contopus virens,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,50 - 100 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,True,EAWP,Kimberly Serno,1,2.5 - 5 min,Singing,False,85846.0
Field Sparrow,Spizella pusilla,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,50 - 100 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,True,FISP,Kimberly Serno,1,7.5 - 10 min,Singing,False,84790.0
Indigo Bunting,Passerina cyanea,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,<= 50 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,True,INBU,Kimberly Serno,1,2.5 - 5 min,Singing,False,94257.0
Mourning Dove,Zenaida macroura,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,50 - 100 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,False,MODO,Kimberly Serno,1,0-2.5 min,Calling,False,82737.0
Northern Cardinal,Cardinalis cardinalis,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,<= 50 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,False,NOCA,Kimberly Serno,1,0-2.5 min,Singing,False,94228.0
Northern Cardinal,Cardinalis cardinalis,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,50 - 100 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,False,NOCA,Kimberly Serno,1,0-2.5 min,Singing,False,94228.0
Field Sparrow,Spizella pusilla,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,<= 50 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,True,FISP,Kimberly Serno,1,7.5 - 10 min,Singing,False,84790.0
Chipping Sparrow,Spizella passerina,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,50 - 100 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,False,CHSP,Kimberly Serno,1,7.5 - 10 min,Singing,False,84781.0
